35.49	26.36	-41
36.472	24.573	-44.688
37.379	22.66	-47.813
38.206	20.693	-49.187
38.954	18.698	-49.875
39.622	16.69	-50.188
40.207	14.622	-51.688
40.708	12.52	-52.562
41.122	10.362	-53.938
41.45	8.2	-54.062
41.693	6.0775	-53.063
41.857	4.0825	-49.875
41.948	2.2825	-45
41.974	0.655	-40.687
41.941	-0.815	-36.75
41.857	-2.115	-32.5
41.728	-3.22	-27.625
41.562	-4.16	-23.5
41.365	-4.9125	-18.813
41.146	-5.4775	-14.125
40.914	-5.7975	-8
40.678	-5.91	-2.8125
40.445	-5.825	2.125
40.223	-5.55	6.875
40.018	-5.1275	10.562
39.834	-4.5875	13.5
39.677	-3.9375	16.25
39.546	-3.2625	16.875
39.443	-2.585	16.937
39.364	-1.9725	15.313
39.308	-1.3875	14.625
39.276	-0.815	14.312
39.268	-0.1875	15.688
39.288	0.49	16.937
39.338	1.2525	19.063
39.418	1.995	18.562
39.526	2.7075	17.813
39.659	3.325	15.438
39.815	3.9025	14.437
39.992	4.4075	12.625
40.19	4.96	13.812
40.407	5.43	11.75
40.644	5.925	12.375
40.898	6.3575	10.812
41.171	6.825	11.687
41.457	7.15	8.125
41.756	7.475	8.125
42.066	7.7325	6.4375
42.385	7.9775	6.125
42.71	8.12	3.5625
43.04	8.2675	3.6875
43.374	8.33	1.5625
43.708	8.3525	0.5625
44.039	8.2925	-1.5
44.369	8.2525	-1
44.694	8.12	-3.3125
45.013	7.9575	-4.0625
45.32	7.6975	-6.5
45.616	7.385	-7.8125
45.894	6.95	-10.875
46.155	6.53	-10.5
46.397	6.0475	-12.063
46.619	5.545	-12.563
46.819	4.995	-13.75
46.997	4.465	-13.25
47.149	3.8075	-16.438
47.276	3.17	-15.937
47.375	2.475	-17.375
47.447	1.7925	-17.062
47.487	1.0025	-19.75
47.498	0.2725	-18.25
47.476	-0.54	-20.312
47.422	-1.3525	-20.313
47.332	-2.2625	-22.75
47.208	-3.095	-20.812
47.047	-4.01	-22.875
46.852	-4.89	-22
46.621	-5.7725	-22.062
46.357	-6.595	-20.563
46.057	-7.4975	-22.562
45.723	-8.365	-21.687
45.352	-9.275	-22.75
44.943	-10.208	-23.313
44.493	-11.262	-26.375
43.998	-12.375	-27.812
43.451	-13.668	-32.313
42.848	-15.09	-35.562
42.181	-16.675	-39.625
41.446	-18.375	-42.5
40.64	-20.13	-43.875
39.765	-21.883	-43.813
38.821	-23.607	-43.125
37.81	-25.258	-41.25
36.739	-26.792	-38.375
35.612	-28.172	-34.5
34.434	-29.448	-31.875
33.211	-30.565	-27.937
31.948	-31.572	-25.187
30.652	-32.415	-21.062
29.325	-33.178	-19.063
27.974	-33.76	-14.562
26.608	-34.17	-10.25
25.233	-34.353	-4.5625
23.861	-34.3	1.3125
22.503	-33.962	8.4375
21.168	-33.365	14.937
19.867	-32.53	20.875
18.609	-31.458	26.812
17.403	-30.145	32.813
16.259	-28.592	38.813
15.189	-26.755	45.937
14.203	-24.653	52.562
13.312	-22.285	59.188
12.523	-19.713	64.312
11.843	-17.012	67.5
11.274	-14.228	69.625
10.818	-11.397	70.75
10.475	-8.57	70.687
10.244	-5.7725	69.938
10.052	-4.8075	24.125
10.006	-1.14	91.687
9.4934	-12.817	-291.91
9.6259	3.312	403.21
9.9108	7.1207	95.219
10.234	8.0862	24.137
10.671	10.922	70.906
11.22	13.73	70.188
11.879	16.465	68.375
12.644	19.117	66.312
13.507	21.585	61.688
14.464	23.913	58.187
15.503	25.99	51.938
16.617	27.843	46.313
17.793	29.412	39.25
19.023	30.753	33.5
20.296	31.822	26.75
21.605	32.718	22.375
22.939	33.35	15.812
24.29	33.767	10.438
25.646	33.898	3.25
26.996	33.762	-3.375
28.329	33.335	-10.687
29.637	32.688	-16.188
30.909	31.795	-22.313
32.137	30.715	-27
33.315	29.443	-31.812
34.435	28	-36.063
35.49	26.36	-41
36.472	24.573	-44.688
37.379	22.66	-47.813
38.206	20.693	-49.187
38.954	18.698	-49.875
39.622	16.69	-50.188
40.207	14.622	-51.688
40.708	12.52	-52.562
41.122	10.362	-53.938
41.45	8.2	-54.062
41.693	6.0775	-53.063
41.857	4.0825	-49.875
41.948	2.2825	-45
41.974	0.655	-40.687
41.941	-0.815	-36.75
41.857	-2.115	-32.5
41.728	-3.22	-27.625
41.562	-4.16	-23.5
41.365	-4.9125	-18.813
41.146	-5.4775	-14.125
40.914	-5.7975	-8
40.678	-5.91	-2.8125
40.445	-5.825	2.125
40.223	-5.55	6.875
40.018	-5.1275	10.562
39.834	-4.5875	13.5
39.677	-3.9375	16.25
39.546	-3.2625	16.875
39.443	-2.585	16.937
39.364	-1.9725	15.313
39.308	-1.3875	14.625
39.276	-0.815	14.312
39.268	-0.1875	15.688
39.288	0.49	16.937
39.338	1.2525	19.063
39.418	1.995	18.562
39.526	2.7075	17.813
39.659	3.325	15.438
39.815	3.9025	14.437
39.992	4.4075	12.625
40.19	4.96	13.812
40.407	5.43	11.75
40.644	5.925	12.375
40.898	6.3575	10.812
41.171	6.825	11.687
41.457	7.15	8.125
41.756	7.475	8.125
42.066	7.7325	6.4375
42.385	7.9775	6.125
42.71	8.12	3.5625
43.04	8.2675	3.6875
43.374	8.33	1.5625
43.708	8.3525	0.5625
44.039	8.2925	-1.5
44.369	8.2525	-1
44.694	8.12	-3.3125
45.013	7.9575	-4.0625
45.32	7.6975	-6.5
45.616	7.385	-7.8125
45.894	6.95	-10.875
46.155	6.53	-10.5
46.397	6.0475	-12.063
46.619	5.545	-12.563
46.819	4.995	-13.75
46.997	4.465	-13.25
47.149	3.8075	-16.438
47.276	3.17	-15.937
47.375	2.475	-17.375
47.447	1.7925	-17.062
47.487	1.0025	-19.75
47.498	0.2725	-18.25
47.476	-0.54	-20.312
47.422	-1.3525	-20.313
47.332	-2.2625	-22.75
47.208	-3.095	-20.812
47.047	-4.01	-22.875
46.852	-4.89	-22
46.621	-5.7725	-22.062
46.357	-6.595	-20.563
46.057	-7.4975	-22.562
45.723	-8.365	-21.687
45.352	-9.275	-22.75
44.943	-10.208	-23.313
44.493	-11.262	-26.375
43.998	-12.375	-27.812
43.451	-13.668	-32.313
42.848	-15.09	-35.562
42.181	-16.675	-39.625
41.446	-18.375	-42.5
40.64	-20.13	-43.875
39.765	-21.883	-43.813
38.821	-23.607	-43.125
37.81	-25.258	-41.25
36.739	-26.792	-38.375
35.612	-28.172	-34.5
34.434	-29.448	-31.875
33.211	-30.565	-27.937
31.948	-31.572	-25.187
30.652	-32.415	-21.062
29.325	-33.178	-19.063
27.974	-33.76	-14.562
26.608	-34.17	-10.25
25.233	-34.353	-4.5625
23.861	-34.3	1.3125
22.503	-33.962	8.4375
21.168	-33.365	14.937
19.867	-32.53	20.875
18.609	-31.458	26.812
17.403	-30.145	32.813
16.259	-28.592	38.813
15.189	-26.755	45.937
14.203	-24.653	52.562
13.312	-22.285	59.188
12.523	-19.713	64.312
11.843	-17.012	67.5
11.274	-14.228	69.625
10.818	-11.397	70.75
10.475	-8.57	70.687
10.244	-5.7725	69.938
10.002	-6.05	-6.9375
9.8474	-3.8652	54.619
9.78	-1.6848	54.512
9.8007	0.5185	55.081
9.9108	2.7503	55.794
10.234	8.0862	133.4
10.671	10.922	70.906
11.22	13.73	70.188
11.879	16.465	68.375
12.644	19.117	66.312
13.507	21.585	61.688
14.464	23.913	58.187
15.503	25.99	51.938
16.617	27.843	46.313
17.793	29.412	39.25
19.023	30.753	33.5
20.296	31.822	26.75
21.605	32.718	22.375
22.939	33.35	15.812
24.29	33.767	10.438
25.646	33.898	3.25
26.996	33.762	-3.375
28.329	33.335	-10.687
29.637	32.688	-16.188
30.909	31.795	-22.313
32.137	30.715	-27
33.315	29.443	-31.812
34.435	28	-36.063
35.49	26.36	-41
36.472	24.573	-44.688
37.379	22.66	-47.813
38.206	20.693	-49.187
38.954	18.698	-49.875
39.622	16.69	-50.188
40.207	14.622	-51.688
40.708	12.52	-52.562
41.122	10.362	-53.938
41.45	8.2	-54.062
41.693	6.0775	-53.063
41.857	4.0825	-49.875
41.948	2.2825	-45
41.974	0.655	-40.687
41.941	-0.815	-36.75
41.857	-2.115	-32.5
41.728	-3.22	-27.625
41.562	-4.16	-23.5
41.365	-4.9125	-18.813
41.146	-5.4775	-14.125
40.914	-5.7975	-8
40.678	-5.91	-2.8125
40.445	-5.825	2.125
40.223	-5.55	6.875
40.018	-5.1275	10.562
39.834	-4.5875	13.5
39.677	-3.9375	16.25
39.546	-3.2625	16.875
39.443	-2.585	16.937
39.364	-1.9725	15.313
39.308	-1.3875	14.625
39.276	-0.815	14.312
39.268	-0.1875	15.688
39.288	0.49	16.937
39.338	1.2525	19.063
39.418	1.995	18.562
39.526	2.7075	17.813
39.659	3.325	15.438
39.815	3.9025	14.437
39.992	4.4075	12.625
40.19	4.96	13.812
40.407	5.43	11.75
40.644	5.925	12.375
40.898	6.3575	10.812
41.171	6.825	11.687
41.457	7.15	8.125
41.756	7.475	8.125
42.066	7.7325	6.4375
42.385	7.9775	6.125
42.71	8.12	3.5625
43.04	8.2675	3.6875
43.374	8.33	1.5625
43.708	8.3525	0.5625
44.039	8.2925	-1.5
44.369	8.2525	-1
44.694	8.12	-3.3125
45.013	7.9575	-4.0625
45.32	7.6975	-6.5
45.616	7.385	-7.8125
45.894	6.95	-10.875
46.155	6.53	-10.5
46.397	6.0475	-12.063
46.619	5.545	-12.563
46.819	4.995	-13.75
46.997	4.465	-13.25
47.149	3.8075	-16.438
47.276	3.17	-15.937
47.375	2.475	-17.375
47.447	1.7925	-17.062
47.487	1.0025	-19.75
47.498	0.2725	-18.25
47.476	-0.54	-20.312
47.422	-1.3525	-20.313
47.332	-2.2625	-22.75
47.208	-3.095	-20.812
47.047	-4.01	-22.875
46.852	-4.89	-22
46.621	-5.7725	-22.062
46.357	-6.595	-20.563
46.057	-7.4975	-22.562
45.723	-8.365	-21.687
45.352	-9.275	-22.75
44.943	-10.208	-23.313
44.493	-11.262	-26.375
43.998	-12.375	-27.812
43.451	-13.668	-32.313
42.848	-15.09	-35.562
42.181	-16.675	-39.625
41.446	-18.375	-42.5
40.64	-20.13	-43.875
39.765	-21.883	-43.813
38.821	-23.607	-43.125
37.81	-25.258	-41.25
36.739	-26.792	-38.375
35.612	-28.172	-34.5
34.434	-29.448	-31.875
33.211	-30.565	-27.937
31.948	-31.572	-25.187
30.652	-32.415	-21.062
29.325	-33.178	-19.063
27.974	-33.76	-14.562
26.608	-34.17	-10.25
25.233	-34.353	-4.5625
23.861	-34.3	1.3125
22.503	-33.962	8.4375
21.168	-33.365	14.937
19.867	-32.53	20.875
18.609	-31.458	26.812
17.403	-30.145	32.813
16.259	-28.592	38.813
15.189	-26.755	45.937
14.203	-24.653	52.562
13.312	-22.285	59.188
12.523	-19.713	64.312
11.843	-17.012	67.5
11.274	-14.228	69.625
10.818	-11.397	70.75
10.475	-8.57	70.687
10.244	-5.7725	69.938
10.002	-6.05	-6.9375
9.8474	-3.8652	54.619
9.78	-1.6848	54.512
9.8007	0.5185	55.081
9.9108	2.7503	55.794
10.234	8.0862	133.4
10.671	10.922	70.906
11.22	13.73	70.188
11.879	16.465	68.375
12.644	19.117	66.312
13.507	21.585	61.688
14.464	23.913	58.187
15.503	25.99	51.938
16.617	27.843	46.313
17.793	29.412	39.25
19.023	30.753	33.5
20.296	31.822	26.75
21.605	32.718	22.375
22.939	33.35	15.812
24.29	33.767	10.438
25.646	33.898	3.25
26.996	33.762	-3.375
28.329	33.335	-10.687
29.637	32.688	-16.188
30.909	31.795	-22.313
32.137	30.715	-27
33.315	29.443	-31.812
34.435	28	-36.063
35.49	26.36	-41
36.472	24.573	-44.688
37.379	22.66	-47.813
38.206	20.693	-49.187
38.954	18.698	-49.875
39.622	16.69	-50.188
40.207	14.622	-51.688
40.708	12.52	-52.562
41.122	10.362	-53.938
41.45	8.2	-54.062
41.693	6.0775	-53.063
41.857	4.0825	-49.875
41.948	2.2825	-45
41.974	0.655	-40.687
41.941	-0.815	-36.75
41.857	-2.115	-32.5
41.728	-3.22	-27.625
41.562	-4.16	-23.5
41.365	-4.9125	-18.813
41.146	-5.4775	-14.125
40.914	-5.7975	-8
40.678	-5.91	-2.8125
40.445	-5.825	2.125
40.223	-5.55	6.875
40.018	-5.1275	10.562
39.834	-4.5875	13.5
39.677	-3.9375	16.25
39.546	-3.2625	16.875
39.443	-2.585	16.937
39.364	-1.9725	15.313
39.308	-1.3875	14.625
39.276	-0.815	14.312
39.268	-0.1875	15.688
39.288	0.49	16.937
39.338	1.2525	19.063
39.418	1.995	18.562
39.526	2.7075	17.813
39.659	3.325	15.438
39.815	3.9025	14.437
39.992	4.4075	12.625
40.19	4.96	13.812
40.407	5.43	11.75
40.644	5.925	12.375
40.898	6.3575	10.812
41.171	6.825	11.687
41.457	7.15	8.125
41.756	7.475	8.125
42.066	7.7325	6.4375
42.385	7.9775	6.125
42.71	8.12	3.5625
43.04	8.2675	3.6875
43.374	8.33	1.5625
43.708	8.3525	0.5625
44.039	8.2925	-1.5
44.369	8.2525	-1
44.694	8.12	-3.3125
45.013	7.9575	-4.0625
45.32	7.6975	-6.5
45.616	7.385	-7.8125
45.894	6.95	-10.875
46.155	6.53	-10.5
46.397	6.0475	-12.063
46.619	5.545	-12.563
46.819	4.995	-13.75
46.997	4.465	-13.25
47.149	3.8075	-16.438
47.276	3.17	-15.937
47.375	2.475	-17.375
47.447	1.7925	-17.062
47.487	1.0025	-19.75
47.498	0.2725	-18.25
47.476	-0.54	-20.312
47.422	-1.3525	-20.313
47.332	-2.2625	-22.75
47.208	-3.095	-20.812
47.047	-4.01	-22.875
46.852	-4.89	-22
46.621	-5.7725	-22.062
46.357	-6.595	-20.563
46.057	-7.4975	-22.562
45.723	-8.365	-21.687
45.352	-9.275	-22.75
44.943	-10.208	-23.313
44.493	-11.262	-26.375
43.998	-12.375	-27.812
43.451	-13.668	-32.313
42.848	-15.09	-35.562
42.181	-16.675	-39.625
41.446	-18.375	-42.5
40.64	-20.13	-43.875
39.765	-21.883	-43.813
38.821	-23.607	-43.125
37.81	-25.258	-41.25
36.739	-26.792	-38.375
35.612	-28.172	-34.5
34.434	-29.448	-31.875
33.211	-30.565	-27.937
31.948	-31.572	-25.187
30.652	-32.415	-21.062
29.325	-33.178	-19.063
27.974	-33.76	-14.562
26.608	-34.17	-10.25
25.233	-34.353	-4.5625
23.861	-34.3	1.3125
22.503	-33.962	8.4375
21.168	-33.365	14.937
19.867	-32.53	20.875
18.609	-31.458	26.812
17.403	-30.145	32.813
16.259	-28.592	38.813
15.189	-26.755	45.937
14.203	-24.653	52.562
13.312	-22.285	59.188
12.523	-19.713	64.312
11.843	-17.012	67.5
11.274	-14.228	69.625
10.818	-11.397	70.75
10.475	-8.57	70.687
10.244	-5.7725	69.938
10.002	-6.05	-6.9375
9.8474	-3.8652	54.619
9.78	-1.6848	54.512
9.8007	0.5185	55.081
9.9108	2.7503	55.794
10.234	8.0862	133.4
10.671	10.922	70.906
11.22	13.73	70.188
11.879	16.465	68.375
12.644	19.117	66.312
13.507	21.585	61.688
14.464	23.913	58.187
15.503	25.99	51.938
16.617	27.843	46.313
17.793	29.412	39.25
19.023	30.753	33.5
20.296	31.822	26.75
21.605	32.718	22.375
22.939	33.35	15.812
24.29	33.767	10.438
25.646	33.898	3.25
26.996	33.762	-3.375
28.329	33.335	-10.687
29.637	32.688	-16.188
30.909	31.795	-22.313
32.137	30.715	-27
33.315	29.443	-31.812
34.435	28	-36.063
35.49	26.36	-41
36.472	24.573	-44.688
37.379	22.66	-47.813
38.206	20.693	-49.187
38.954	18.698	-49.875
39.622	16.69	-50.188
40.207	14.622	-51.688
40.708	12.52	-52.562
41.122	10.362	-53.938
41.45	8.2	-54.062
41.693	6.0775	-53.063
41.857	4.0825	-49.875
41.948	2.2825	-45
41.974	0.655	-40.687
41.941	-0.815	-36.75
41.857	-2.115	-32.5
41.728	-3.22	-27.625
41.562	-4.16	-23.5
41.365	-4.9125	-18.813
41.146	-5.4775	-14.125
40.914	-5.7975	-8
40.678	-5.91	-2.8125
40.445	-5.825	2.125
40.223	-5.55	6.875
40.018	-5.1275	10.562
39.834	-4.5875	13.5
39.677	-3.9375	16.25
39.546	-3.2625	16.875
39.443	-2.585	16.937
39.364	-1.9725	15.313
39.308	-1.3875	14.625
39.276	-0.815	14.312
39.268	-0.1875	15.688
39.288	0.49	16.937
39.338	1.2525	19.063
39.418	1.995	18.562
39.526	2.7075	17.813
39.659	3.325	15.438
39.815	3.9025	14.437
39.992	4.4075	12.625
40.19	4.96	13.812
40.407	5.43	11.75
40.644	5.925	12.375
40.898	6.3575	10.812
41.171	6.825	11.687
41.457	7.15	8.125
41.756	7.475	8.125
42.066	7.7325	6.4375
42.385	7.9775	6.125
42.71	8.12	3.5625
43.04	8.2675	3.6875
43.374	8.33	1.5625
43.708	8.3525	0.5625
44.039	8.2925	-1.5
44.369	8.2525	-1
44.694	8.12	-3.3125
45.013	7.9575	-4.0625
45.32	7.6975	-6.5
45.616	7.385	-7.8125
45.894	6.95	-10.875
46.155	6.53	-10.5
46.397	6.0475	-12.063
46.619	5.545	-12.563
46.819	4.995	-13.75
46.997	4.465	-13.25
47.149	3.8075	-16.438
47.276	3.17	-15.937
47.375	2.475	-17.375
47.447	1.7925	-17.062
47.487	1.0025	-19.75
47.498	0.2725	-18.25
47.476	-0.54	-20.312
47.422	-1.3525	-20.313
47.332	-2.2625	-22.75
47.208	-3.095	-20.812
47.047	-4.01	-22.875
46.852	-4.89	-22
46.621	-5.7725	-22.062
46.357	-6.595	-20.563
46.057	-7.4975	-22.562
45.723	-8.365	-21.687
45.352	-9.275	-22.75
44.943	-10.208	-23.313
44.493	-11.262	-26.375
43.998	-12.375	-27.812
43.451	-13.668	-32.313
42.848	-15.09	-35.562
42.181	-16.675	-39.625
41.446	-18.375	-42.5
40.64	-20.13	-43.875
39.765	-21.883	-43.813
38.821	-23.607	-43.125
37.81	-25.258	-41.25
36.739	-26.792	-38.375
35.612	-28.172	-34.5
34.434	-29.448	-31.875
33.211	-30.565	-27.937
31.948	-31.572	-25.187
30.652	-32.415	-21.062
29.325	-33.178	-19.063
27.974	-33.76	-14.562
26.608	-34.17	-10.25
25.233	-34.353	-4.5625
23.861	-34.3	1.3125
22.503	-33.962	8.4375
21.168	-33.365	14.937
19.867	-32.53	20.875
18.609	-31.458	26.812
17.403	-30.145	32.813
16.259	-28.592	38.813
15.189	-26.755	45.937
14.203	-24.653	52.562
13.312	-22.285	59.188
12.523	-19.713	64.312
11.843	-17.012	67.5
11.274	-14.228	69.625
10.818	-11.397	70.75
10.475	-8.57	70.687
10.244	-5.7725	69.938
10.052	-4.8075	24.125
10.006	-1.14	91.687
9.4934	-12.817	-291.91
9.6259	3.312	403.21
9.9108	7.1207	95.219
10.234	8.0862	24.137
10.671	10.922	70.906
11.22	13.73	70.188
11.879	16.465	68.375
12.644	19.117	66.312
13.507	21.585	61.688
14.464	23.913	58.187
15.503	25.99	51.938
16.617	27.843	46.313
17.793	29.412	39.25
19.023	30.753	33.5
20.296	31.822	26.75
21.605	32.718	22.375
22.939	33.35	15.812
24.29	33.767	10.438
25.646	33.898	3.25
26.996	33.762	-3.375
28.329	33.335	-10.687
29.637	32.688	-16.188
30.909	31.795	-22.313
32.137	30.715	-27
33.315	29.443	-31.812
34.435	28	-36.063
35.49	26.36	-41
36.472	24.573	-44.688
37.379	22.66	-47.813
38.206	20.693	-49.187
38.954	18.698	-49.875
39.622	16.69	-50.188
40.207	14.622	-51.688
40.708	12.52	-52.562
41.122	10.362	-53.938
41.45	8.2	-54.062
41.693	6.0775	-53.063
41.857	4.0825	-49.875
41.948	2.2825	-45
41.974	0.655	-40.687
41.941	-0.815	-36.75
41.857	-2.115	-32.5
41.728	-3.22	-27.625
41.562	-4.16	-23.5
41.365	-4.9125	-18.813
41.146	-5.4775	-14.125
40.914	-5.7975	-8
40.678	-5.91	-2.8125
40.445	-5.825	2.125
40.223	-5.55	6.875
40.018	-5.1275	10.562
39.834	-4.5875	13.5
39.677	-3.9375	16.25
39.546	-3.2625	16.875
39.443	-2.585	16.937
39.364	-1.9725	15.313
39.308	-1.3875	14.625
39.276	-0.815	14.312
39.268	-0.1875	15.688
39.288	0.49	16.937
39.338	1.2525	19.063
39.418	1.995	18.562
39.526	2.7075	17.813
39.659	3.325	15.438
39.815	3.9025	14.437
39.992	4.4075	12.625
40.19	4.96	13.812
40.407	5.43	11.75
40.644	5.925	12.375
40.898	6.3575	10.812
41.171	6.825	11.687
41.457	7.15	8.125
41.756	7.475	8.125
42.066	7.7325	6.4375
42.385	7.9775	6.125
42.71	8.12	3.5625
43.04	8.2675	3.6875
43.374	8.33	1.5625
43.708	8.3525	0.5625
44.039	8.2925	-1.5
44.369	8.2525	-1
44.694	8.12	-3.3125
45.013	7.9575	-4.0625
45.32	7.6975	-6.5
45.616	7.385	-7.8125
45.894	6.95	-10.875
46.155	6.53	-10.5
46.397	6.0475	-12.063
46.619	5.545	-12.563
46.819	4.995	-13.75
46.997	4.465	-13.25
47.149	3.8075	-16.438
47.276	3.17	-15.937
47.375	2.475	-17.375
47.447	1.7925	-17.062
47.487	1.0025	-19.75
47.498	0.2725	-18.25
47.476	-0.54	-20.312
47.422	-1.3525	-20.313
47.332	-2.2625	-22.75
47.208	-3.095	-20.812
47.047	-4.01	-22.875
46.852	-4.89	-22
46.621	-5.7725	-22.062
46.357	-6.595	-20.563
46.057	-7.4975	-22.562
45.723	-8.365	-21.687
45.352	-9.275	-22.75
44.943	-10.208	-23.313
44.493	-11.262	-26.375
43.998	-12.375	-27.812
43.451	-13.668	-32.313
42.848	-15.09	-35.562
42.181	-16.675	-39.625
41.446	-18.375	-42.5
40.64	-20.13	-43.875
39.765	-21.883	-43.813
38.821	-23.607	-43.125
37.81	-25.258	-41.25
36.739	-26.792	-38.375
35.612	-28.172	-34.5
34.434	-29.448	-31.875
33.211	-30.565	-27.937
31.948	-31.572	-25.187
30.652	-32.415	-21.062
29.325	-33.178	-19.063
27.974	-33.76	-14.562
26.608	-34.17	-10.25
25.233	-34.353	-4.5625
23.861	-34.3	1.3125
22.503	-33.962	8.4375
21.168	-33.365	14.937
19.867	-32.53	20.875
18.609	-31.458	26.812
17.403	-30.145	32.813
16.259	-28.592	38.813
15.189	-26.755	45.937
14.203	-24.653	52.562
13.312	-22.285	59.188
12.523	-19.713	64.312
11.843	-17.012	67.5
11.274	-14.228	69.625
10.818	-11.397	70.75
10.475	-8.57	70.687
10.244	-5.7725	69.938
10.002	-6.05	-6.9375
9.8474	-3.8652	54.619
9.78	-1.6848	54.512
9.8007	0.5185	55.081
9.9108	2.7503	55.794
10.234	8.0862	133.4
10.671	10.922	70.906
11.22	13.73	70.188
11.879	16.465	68.375
12.644	19.117	66.312
13.507	21.585	61.688
14.464	23.913	58.187
15.503	25.99	51.938
16.617	27.843	46.313
17.793	29.412	39.25
19.023	30.753	33.5
20.296	31.822	26.75
21.605	32.718	22.375
22.939	33.35	15.812
24.29	33.767	10.438
25.646	33.898	3.25
26.996	33.762	-3.375
28.329	33.335	-10.687
29.637	32.688	-16.188
30.909	31.795	-22.313
32.137	30.715	-27
33.315	29.443	-31.812
34.435	28	-36.063
35.49	26.36	-41
36.472	24.573	-44.688
37.379	22.66	-47.813
38.206	20.693	-49.187
38.954	18.698	-49.875
39.622	16.69	-50.188
40.207	14.622	-51.688
40.708	12.52	-52.562
41.122	10.362	-53.938
41.45	8.2	-54.062
41.693	6.0775	-53.063
41.857	4.0825	-49.875
41.948	2.2825	-45
41.974	0.655	-40.687
41.941	-0.815	-36.75
41.857	-2.115	-32.5
41.728	-3.22	-27.625
41.562	-4.16	-23.5
41.365	-4.9125	-18.813
41.146	-5.4775	-14.125
40.914	-5.7975	-8
40.678	-5.91	-2.8125
40.445	-5.825	2.125
40.223	-5.55	6.875
40.018	-5.1275	10.562
39.834	-4.5875	13.5
39.677	-3.9375	16.25
39.546	-3.2625	16.875
39.443	-2.585	16.937
39.364	-1.9725	15.313
39.308	-1.3875	14.625
39.276	-0.815	14.312
39.268	-0.1875	15.688
39.288	0.49	16.937
39.338	1.2525	19.063
39.418	1.995	18.562
39.526	2.7075	17.813
39.659	3.325	15.438
39.815	3.9025	14.437
39.992	4.4075	12.625
40.19	4.96	13.812
40.407	5.43	11.75
40.644	5.925	12.375
40.898	6.3575	10.812
41.171	6.825	11.687
41.457	7.15	8.125
41.756	7.475	8.125
42.066	7.7325	6.4375
42.385	7.9775	6.125
42.71	8.12	3.5625
43.04	8.2675	3.6875
43.374	8.33	1.5625
43.708	8.3525	0.5625
44.039	8.2925	-1.5
44.369	8.2525	-1
44.694	8.12	-3.3125
45.013	7.9575	-4.0625
45.32	7.6975	-6.5
45.616	7.385	-7.8125
45.894	6.95	-10.875
46.155	6.53	-10.5
46.397	6.0475	-12.063
46.619	5.545	-12.563
46.819	4.995	-13.75
46.997	4.465	-13.25
47.149	3.8075	-16.438
47.276	3.17	-15.937
47.375	2.475	-17.375
47.447	1.7925	-17.062
47.487	1.0025	-19.75
47.498	0.2725	-18.25
47.476	-0.54	-20.312
47.422	-1.3525	-20.313
47.332	-2.2625	-22.75
47.208	-3.095	-20.812
47.047	-4.01	-22.875
46.852	-4.89	-22
46.621	-5.7725	-22.062
46.357	-6.595	-20.563
46.057	-7.4975	-22.562
45.723	-8.365	-21.687
45.352	-9.275	-22.75
44.943	-10.208	-23.313
44.493	-11.262	-26.375
43.998	-12.375	-27.812
43.451	-13.668	-32.313
42.848	-15.09	-35.562
42.181	-16.675	-39.625
41.446	-18.375	-42.5
40.64	-20.13	-43.875
39.765	-21.883	-43.813
38.821	-23.607	-43.125
37.81	-25.258	-41.25
36.739	-26.792	-38.375
35.612	-28.172	-34.5
34.434	-29.448	-31.875
33.211	-30.565	-27.937
31.948	-31.572	-25.187
30.652	-32.415	-21.062
29.325	-33.178	-19.063
27.974	-33.76	-14.562
26.608	-34.17	-10.25
25.233	-34.353	-4.5625
23.861	-34.3	1.3125
22.503	-33.962	8.4375
21.168	-33.365	14.937
19.867	-32.53	20.875
18.609	-31.458	26.812
17.403	-30.145	32.813
16.259	-28.592	38.813
15.189	-26.755	45.937
14.203	-24.653	52.562
13.312	-22.285	59.188
12.523	-19.713	64.312
11.843	-17.012	67.5
11.274	-14.228	69.625
10.818	-11.397	70.75
10.475	-8.57	70.687
10.244	-5.7725	69.938
10.002	-6.05	-6.9375
9.8474	-3.8652	54.619
9.78	-1.6848	54.512
9.8007	0.5185	55.081
9.9108	2.7503	55.794
10.234	8.0862	133.4
10.671	10.922	70.906
11.22	13.73	70.188
11.879	16.465	68.375
12.644	19.117	66.312
13.507	21.585	61.688
14.464	23.913	58.187
15.503	25.99	51.938
16.617	27.843	46.313
17.793	29.412	39.25
19.023	30.753	33.5
20.296	31.822	26.75
21.605	32.718	22.375
22.939	33.35	15.812
24.29	33.767	10.438
25.646	33.898	3.25
26.996	33.762	-3.375
28.329	33.335	-10.687
29.637	32.688	-16.188
30.909	31.795	-22.313
32.137	30.715	-27
33.315	29.443	-31.812
34.435	28	-36.063
35.49	26.36	-41
36.472	24.573	-44.688
37.379	22.66	-47.813
38.206	20.693	-49.187
38.954	18.698	-49.875
39.622	16.69	-50.188
40.207	14.622	-51.688
40.708	12.52	-52.562
41.122	10.362	-53.938
41.45	8.2	-54.062
41.693	6.0775	-53.063
41.857	4.0825	-49.875
41.948	2.2825	-45
41.974	0.655	-40.687
41.941	-0.815	-36.75
41.857	-2.115	-32.5
41.728	-3.22	-27.625
41.562	-4.16	-23.5
41.365	-4.9125	-18.813
41.146	-5.4775	-14.125
40.914	-5.7975	-8
40.678	-5.91	-2.8125
